Date,AAPL,SPY
2020-01-24,76.96333312988281,303.8964538574219
2020-01-27,74.7002182006836,299.02520751953125
2020-01-28,76.81342315673828,302.1587829589844
2020-01-29,78.42131805419922,301.9092102050781
2020-01-30,78.30766296386719,302.88897705078125
2020-01-31,74.83560180664062,297.38916015625
2020-02-03,74.63008117675781,299.59832763671875
2020-02-04,77.09391784667969,304.16455078125
2020-02-05,77.72254943847656,307.677001953125
2020-02-06,78.63167572021484,308.71234130859375
2020-02-07,77.56288146972656,307.0670166015625
2020-02-10,77.93124389648438,309.35943603515625
2020-02-11,77.4610595703125,309.8955078125
2020-02-12,79.30059051513672,311.89202880859375
2020-02-13,78.73587799072266,311.5593566894531
2020-02-14,78.75527954101562,312.0585021972656
2020-02-18,77.313232421875,311.2542419433594
2020-02-19,78.43292999267578,312.7425231933594
2020-02-20,77.62828826904297,311.4576721191406
2020-02-21,75.87116241455078,308.25018310546875
2020-02-24,72.26727294921875,298.0269470214844
2020-02-25,69.81941986083984,288.99609375
2020-02-26,70.92701721191406,287.9330749511719
2020-02-27,66.29064178466797,275.0015869140625
2020-02-28,66.25184631347656,273.84613037109375
2020-03-02,72.41996002197266,285.7054443359375
2020-03-03,70.11992645263672,277.5249938964844
2020-03-04,73.37242126464844,289.19024658203125
2020-03-05,70.99243927001953,279.5769958496094
2020-03-06,70.04966735839844,274.9552917480469
2020-03-09,64.50929260253906,253.48280334472656
2020-03-10,69.15536499023438,266.5992431640625
2020-03-11,66.75354766845703,253.6029815673828
2020-03-12,60.161319732666016,229.33895874023438
2020-03-13,67.36915588378906,248.9442901611328
2020-03-16,58.70231246948242,221.70387268066406
2020-03-17,61.283451080322266,233.67408752441406
2020-03-18,59.78324508666992,221.842529296875
2020-03-19,59.325172424316406,222.31390380859375
2020-03-20,55.55887985229492,212.7334747314453
2020-03-23,54.37858200073242,207.29425048828125
2020-03-24,59.83414077758789,226.07582092285156
2020-03-25,59.5045166015625,229.46022033691406
2020-03-26,62.635841369628906,242.85833740234375
2020-03-27,60.042572021484375,235.62464904785156
2020-03-30,61.75605773925781,243.2767333984375
2020-03-31,61.63003158569336,239.65057373046875
2020-04-01,58.387237548828125,228.86514282226562
2020-04-02,59.36153030395508,234.1463165283203
2020-04-03,58.508419036865234,230.7619171142578
2020-04-06,63.61254119873047,246.26129150390625
2020-04-07,62.875770568847656,246.51234436035156
2020-04-08,64.48504638671875,254.78741455078125
2020-04-09,64.95036315917969,258.66461181640625
2020-04-13,66.22518920898438,256.3029479980469
2020-04-14,69.56977081298828,263.86199951171875
2020-04-15,68.934814453125,258.25555419921875
2020-04-16,69.4825210571289,259.50140380859375
2020-04-17,68.53974151611328,266.51190185546875
2020-04-20,67.11708068847656,261.8164367675781
2020-04-21,65.0425033569336,253.866943359375
2020-04-22,66.91594696044922,259.50140380859375
2020-04-23,66.65658569335938,259.4827880859375
2020-04-24,68.5809555053711,263.09954833984375
2020-04-27,68.62943267822266,266.8931884765625
2020-04-28,67.5169906616211,265.6658020019531
2020-04-29,69.73458862304688,272.62060546875
2020-04-30,71.20571899414062,270.082275390625
2020-05-01,70.05935668945312,262.9322509765625
2020-05-04,71.05061340332031,263.6575012207031
2020-05-05,72.11701202392578,266.093505859375
2020-05-06,72.86103820800781,264.2896728515625
2020-05-07,73.61479187011719,267.4789123535156
2020-05-08,75.366943359375,271.9046630859375
2020-05-11,76.55286407470703,271.9604187011719
2020-05-12,75.67800903320312,266.53985595703125
2020-05-13,74.7642593383789,261.8258056640625
2020-05-14,75.22357940673828,264.95916748046875
2020-05-15,74.77884674072266,266.1772155761719
2020-05-18,76.54070281982422,274.2848815917969
2020-05-19,76.09844207763672,271.46759033203125
2020-05-20,77.57838439941406,276.07940673828125
2020-05-21,77.0000228881836,274.17333984375
2020-05-22,77.49578857421875,274.6940612792969
2020-05-26,76.97086334228516,278.078369140625
2020-05-27,77.30622100830078,282.21588134765625
2020-05-28,77.34024810791016,281.6950988769531
2020-05-29,77.26490783691406,282.9504699707031
2020-06-01,78.2151107788086,284.093994140625
2020-06-02,78.57719421386719,286.4464111328125
2020-06-03,79.009765625,290.25848388671875
2020-06-04,78.32933044433594,289.4961242675781
2020-06-05,80.56021118164062,296.9156188964844
2020-06-08,81.03653717041016,300.5046081542969
2020-06-09,83.59551239013672,298.263916015625
2020-06-10,85.7462158203125,296.5995178222656
2020-06-11,81.62950134277344,279.5008544921875
2020-06-12,82.334228515625,282.8481750488281
2020-06-15,83.35248565673828,285.4887390136719
2020-06-16,85.56151580810547,290.9837951660156
2020-06-17,85.44245147705078,289.7749938964844
2020-06-18,85.4764633178711,289.88653564453125
2020-06-19,84.98799133300781,288.22991943359375
2020-06-22,87.21160125732422,290.0790100097656
2020-06-23,89.0730972290039,291.4143981933594
2020-06-24,87.50078582763672,283.980712890625
2020-06-25,88.66242980957031,287.0252685546875
2020-06-26,85.93817901611328,280.20794677734375
2020-06-29,87.91879272460938,284.3262634277344
2020-06-30,88.65269470214844,287.9684143066406
2020-07-01,88.48500061035156,289.98553466796875
2020-07-02,88.48500061035156,291.5824279785156
2020-07-06,90.85200500488281,296.0837097167969
2020-07-07,90.5700912475586,293.02996826171875
2020-07-08,92.67948150634766,295.271240234375
2020-07-09,93.07806396484375,293.5903015136719
2020-07-10,93.24087524414062,296.5880126953125
2020-07-13,92.81072235107422,294.0198669433594
2020-07-14,94.34660339355469,297.8300476074219
2020-07-15,94.99544525146484,300.5662841796875
2020-07-16,93.8265380859375,299.5764465332031
2020-07-17,93.63697814941406,300.4449462890625
2020-07-20,95.61027526855469,302.87298583984375
2020-07-21,94.29068756103516,303.5173034667969
2020-07-22,94.55558013916016,305.2449951171875
2020-07-23,90.25175476074219,301.6028137207031
2020-07-24,90.0281753540039,299.6604309082031
2020-07-27,92.16187286376953,301.84564208984375
2020-07-28,90.64788818359375,299.93133544921875
2020-07-29,92.38545989990234,303.6199951171875
2020-07-30,93.50332641601562,302.5367431640625
2020-07-31,103.29208374023438,304.9275207519531
2020-08-03,105.89479064941406,307.0473937988281
2020-08-04,106.6019515991211,308.2333679199219
2020-08-05,106.98837280273438,310.1478271484375
2020-08-06,110.7210922241211,312.2209777832031
2020-08-07,108.20378875732422,312.4451599121094
2020-08-10,109.7764892578125,313.37908935546875
2020-08-11,106.51174926757812,310.79217529296875
2020-08-12,110.05159759521484,315.12542724609375
2020-08-13,111.99923706054688,314.55572509765625
2020-08-14,111.8994369506836,314.5650939941406
2020-08-17,111.6072769165039,315.5643005371094
2020-08-18,112.53727722167969,316.2460021972656
2020-08-19,112.678466796875,314.92926025390625
2020-08-20,115.17877197265625,315.90972900390625
2020-08-21,121.11421203613281,317.0304870605469
2020-08-24,122.56278228759766,320.2430114746094
2020-08-25,121.55728912353516,321.3636474609375
2020-08-26,123.21037292480469,324.5855407714844
2020-08-27,121.73746490478516,325.2952880859375
2020-08-28,121.54026794433594,327.3964538574219
2020-08-31,125.66197204589844,326.2104187011719
2020-09-01,130.66741943359375,329.2828369140625
2020-09-02,127.96019744873047,334.045654296875
2020-09-03,117.715576171875,322.54962158203125
2020-09-04,117.79347229003906,319.91607666015625
2020-09-08,109.8665771484375,311.1750183105469
2020-09-09,114.24877166748047,317.3199462890625
2020-09-10,110.5190200805664,311.81011962890625
2020-09-11,109.06802368164062,311.9689025878906
2020-09-14,112.34007263183594,316.07781982421875
2020-09-15,112.51537322998047,317.6748046875
2020-09-16,109.19463348388672,316.4140625
2020-09-17,107.45149230957031,313.6311340332031
2020-09-18,104.04309844970703,310.0203857421875
2020-09-21,107.19828796386719,306.570068359375
2020-09-22,108.88301086425781,309.6922607421875
2020-09-23,104.3157958984375,302.51019287109375
2020-09-24,105.38697814941406,303.3165588378906
2020-09-25,109.3406982421875,308.22021484375
2020-09-28,111.9505386352539,313.3395690917969
2020-09-29,111.10333251953125,311.6330871582031
2020-09-30,112.7782974243164,313.9959716796875
2020-10-01,113.73265838623047,316.01171875
2020-10-02,110.06134033203125,313.0114440917969
2020-10-05,113.45023345947266,318.56207275390625
2020-10-06,110.19766998291016,314.0333557128906
2020-10-07,112.06741333007812,319.4996643066406
2020-10-08,111.96028137207031,322.331298828125
2020-10-09,113.90792846679688,325.2096252441406
2020-10-12,121.1434097290039,330.4415283203125
2020-10-13,117.92980194091797,328.2851257324219
2020-10-14,118.0174560546875,326.22235107421875
2020-10-15,117.55001068115234,325.819091796875
2020-10-16,115.90425109863281,325.6222839355469
2020-10-19,112.94385528564453,320.6717224121094
2020-10-20,114.43378448486328,321.9561767578125
2020-10-21,113.810546875,321.3467712402344
2020-10-22,112.71986389160156,323.1094970703125
2020-10-23,112.02845764160156,324.2063903808594
2020-10-26,112.0382080078125,318.2151794433594
2020-10-27,113.54761505126953,317.1181640625
2020-10-28,108.28897094726562,306.2793884277344
2020-10-29,112.3011245727539,309.39227294921875
2020-10-30,106.01023864746094,306.1668701171875
2020-11-02,105.92259216308594,309.59857177734375
2020-11-03,107.54888153076172,315.0647888183594
2020-11-04,111.9408187866211,322.106201171875
2020-11-05,115.91400909423828,328.38818359375
2020-11-06,115.78231811523438,328.3132629394531
2020-11-09,113.47036743164062,332.4386291503906
2020-11-10,113.12895202636719,331.9511413574219
2020-11-11,116.56270599365234,334.4169921875
2020-11-12,116.2895736694336,331.1728820800781
2020-11-13,116.33834838867188,335.7578430175781
2020-11-16,117.35287475585938,339.94891357421875
2020-11-17,116.46516418457031,338.1205139160156
2020-11-18,115.13848876953125,334.0513610839844
2020-11-19,115.7335433959961,335.4578552246094
2020-11-20,114.46537780761719,333.1606750488281
2020-11-23,111.0608901977539,335.15771484375
2020-11-24,112.3485336303711,340.558349609375
2020-11-25,113.18748474121094,340.03326416015625
2020-11-27,113.7337417602539,340.9803466796875
2020-11-30,116.13350677490234,339.47076416015625
2020-12-01,119.71357727050781,343.1836853027344
2020-12-02,120.06476593017578,343.9056091308594
2020-12-03,119.92819213867188,343.8118591308594
