Date,AAPL,ABT,ADBE,AMZN,BAC,CMCSA,COST,CRM,CSCO,CVX,DHR,DIS,GOOG,HD,INTC,JPM,KO,LLY,MA,MCD,MDT,META,MRK,MSFT,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,SPY,T,TMO,TSLA,UNH,V,VZ,WMT,XOM
2025-04-03,202.9239044189453,131.02308654785156,367.25,178.41000366210938,37.001949310302734,35.720001220703125,965.8215942382812,254.82958984375,57.310001373291016,154.2412872314453,197.89999389648438,88.83999633789062,152.44676208496094,353.71185302734375,22.43000030517578,227.29000854492188,72.66336059570312,787.4758911132812,529.7098388671875,316.4750671386719,87.88999938964844,531.6199951171875,86.38999938964844,372.42626953125,917.0499877929688,55.213077545166016,101.79293060302734,136.73880004882812,149.72711181640625,23.835289001464844,171.3220977783203,536.7000122070312,28.29962921142578,469.5433654785156,267.2799987792969,540.4400024414062,338.8273010253906,44.89884567260742,87.0495376586914,111.4039535522461
2025-04-04,188.13330078125,123.86622619628906,349.07000732421875,171.0,34.18852615356445,33.380001068115234,915.2874145507812,240.38229370117188,54.540000915527344,141.55580139160156,181.77000427246094,83.52999877929688,147.56263732910156,351.7142333984375,19.850000381469727,210.27999877929688,69.43630981445312,736.699951171875,488.9944152832031,298.41748046875,82.87999725341797,504.7300109863281,81.47000122070312,359.18060302734375,855.8599853515625,56.87205123901367,94.30345153808594,127.81087493896484,145.01876831054688,22.53999900817871,162.73561096191406,505.2799987792969,26.360214233398438,437.4566345214844,239.42999267578125,525.0499877929688,312.61083984375,42.34978485107422,82.98934936523438,103.38777923583984
2025-04-07,181.2223663330078,124.28429412841797,340.70001220703125,175.25999450683594,35.37155532836914,33.470001220703125,906.9483032226562,243.82688903808594,54.40999984741211,138.4634552001953,180.6199951171875,83.30000305175781,149.0608367919922,339.4007873535156,19.56999969482422,214.44000244140625,67.88732147216797,722.24951171875,484.7511291503906,298.1987609863281,83.1500015258789,516.25,81.18000030517578,357.2042236328125,867.8300170898438,55.24287796020508,97.63321685791016,126.70484924316406,141.63589477539062,22.206363677978516,159.23741149902344,504.3800048828125,26.548219680786133,437.4166564941406,233.2899932861328,524.7000122070312,311.80218505859375,41.90690231323242,83.6278076171875,102.00055694580078
2025-04-08,172.19419860839844,123.37848663330078,340.0,170.66000366210938,34.82477569580078,32.84000015258789,907.5675048828125,243.60723876953125,53.189998626708984,135.28221130371094,174.63999938964844,81.72000122070312,146.40402221679688,333.16949462890625,18.1299991607666,216.8699951171875,67.93696594238281,724.75439453125,479.1600341796875,298.1390686035156,81.87999725341797,510.45001220703125,78.94999694824219,353.9102783203125,870.4000244140625,52.9183235168457,96.29331970214844,124.05436706542969,138.7772674560547,21.431154251098633,157.4088134765625,496.4800109863281,26.112838745117188,418.8758850097656,221.86000061035156,553.0800170898438,307.7588806152344,41.503379821777344,81.59272766113281,99.85035705566406
2025-04-09,198.58958435058594,126.45423889160156,364.6400146484375,191.10000610351562,36.93235778808594,35.18000030517578,963.93408203125,264.7540283203125,58.130001068115234,144.272705078125,191.88999938964844,91.44000244140625,160.86663818359375,353.195068359375,21.530000686645508,234.33999633789062,69.45616149902344,752.1682739257812,515.4299926757812,302.24578857421875,85.27999877929688,585.77001953125,81.91000366210938,389.7744140625,945.469970703125,58.928382873535156,114.32205963134766,139.19000244140625,144.0098419189453,22.068984985351562,161.31448364257812,548.6199951171875,26.191999435424805,453.0804138183594,272.20001220703125,578.5,331.8788146972656,42.21200180053711,89.3838882446289,104.83445739746094
2025-04-10,190.17062377929688,123.92594909667969,350.04998779296875,181.22000122070312,35.63997268676758,33.68000030517578,963.0552368164062,255.1199951171875,56.59000015258789,133.35568237304688,180.75999450683594,85.2300033569336,155.1834716796875,351.43597412109375,19.8799991607666,227.11000061035156,70.26045227050781,719.435302734375,499.3399963378906,305.04986572265625,82.54000091552734,546.2899780273438,77.55000305175781,380.65118408203125,921.1699829101562,54.04086685180664,107.56253051757812,133.35000610351562,142.57557678222656,21.185832977294922,162.54678344726562,524.5800170898438,26.389999389648438,426.9974670410156,252.39999389648438,594.4000244140625,324.07177734375,42.91999816894531,90.39144897460938,99.01802825927734
2025-04-11,197.89048767089844,126.29497528076172,352.4700012207031,184.8699951171875,35.73938751220703,33.720001220703125,962.1563720703125,255.0,57.33000183105469,133.99786376953125,188.72999572753906,84.88999938964844,159.2086181640625,351.67449951171875,19.739999771118164,236.1999969482422,70.92572021484375,730.9118041992188,509.75,308.15228271484375,82.9000015258789,543.5700073242188,79.18000030517578,387.7381896972656,918.2899780273438,54.03092956542969,110.92229461669922,132.35000610351562,142.8624267578125,21.49984359741211,165.87603759765625,533.9400024414062,26.790000915527344,437.69635009765625,252.30999755859375,599.469970703125,332.8471984863281,43.72999954223633,92.576171875,102.19873046875
2025-04-14,202.25477600097656,127.3699951171875,350.9100036621094,182.1199951171875,36.45516586303711,34.150001525878906,978.0457153320312,254.5500030517578,57.40999984741211,133.6916046142578,192.97000122070312,84.66000366210938,161.27615356445312,354.993896484375,20.309999465942383,234.72000122070312,71.93851470947266,752.806884765625,512.4600219726562,314.2875061035156,84.22000122070312,531.47998046875,79.16999816894531,387.0993347167969,931.280029296875,55.04419708251953,110.70230865478516,134.63999938964844,145.15725708007812,21.70591163635254,168.08229064941406,539.1199951171875,27.200000762939453,448.8647766113281,252.35000610351562,587.0599975585938,334.624267578125,44.29999923706055,94.50151824951172,102.44644927978516
2025-04-15,201.87527465820312,126.22000122070312,350.3800048828125,179.58999633789062,37.76743698120117,34.400001525878906,975.6488037109375,254.92999267578125,57.20000076293945,132.9209747314453,189.9199981689453,85.01000213623047,158.48948669433594,351.9229431152344,19.850000381469727,233.1300048828125,71.3526840209961,755.631103515625,517.3800048828125,310.7177429199219,82.37000274658203,521.52001953125,78.38999938964844,385.0231628417969,976.280029296875,54.4680290222168,112.19220733642578,133.94000244140625,141.28968811035156,22.019922256469727,167.42637634277344,537.6099853515625,27.5,440.5434265136719,254.11000061035156,583.5900268554688,335.2532043457031,44.47999954223633,93.74334716796875,102.15909576416016
2025-04-16,194.0155792236328,129.6999969482422,344.19000244140625,174.3300018310547,37.111305236816406,33.54999923706055,966.49072265625,249.83999633789062,55.7599983215332,133.73110961914062,190.66000366210938,82.7699966430664,155.3133087158203,343.85308837890625,19.229999542236328,229.61000061035156,71.1739501953125,733.396728515625,513.4299926757812,307.3568115234375,82.69999694824219,502.30999755859375,76.45999908447266,370.92901611328125,961.6300048828125,53.196475982666016,104.48274230957031,129.75999450683594,138.5695343017578,21.627410888671875,165.35926818847656,525.6599731445312,27.020000457763672,436.3377990722656,241.5500030517578,585.0399780273438,330.7806396484375,43.61000061035156,90.97005462646484,103.23915100097656
2025-04-17,196.72203063964844,130.97999572753906,348.79998779296875,172.61000061035156,37.190834045410156,34.0099983215332,993.2059326171875,247.25999450683594,55.7599983215332,136.21090698242188,186.8300018310547,84.80999755859375,153.17588806152344,352.8670959472656,18.93000030517578,231.9600067138672,72.48463439941406,838.2418212890625,517.3300170898438,309.54437255859375,82.5999984741211,501.4800109863281,78.0,367.1060485839844,973.030029296875,55.391883850097656,101.48294830322266,128.6199951171875,141.28968811035156,21.725536346435547,169.572998046875,526.4099731445312,27.149999618530273,427.0574035644531,241.3699951171875,454.1099853515625,329.0634765625,44.040000915527344,92.99515533447266,105.94422912597656
2025-04-21,192.9070281982422,129.88999938964844,343.2200012207031,167.32000732421875,36.703704833984375,33.599998474121094,956.5237426757812,236.25999450683594,54.369998931884766,132.1207275390625,184.9600067138672,84.0,149.68008422851562,344.7574768066406,18.84000015258789,228.99000549316406,72.25625610351562,816.3466796875,509.32000732421875,306.97894287109375,81.80000305175781,484.6600036621094,77.8499984741211,358.4619140625,987.9099731445312,55.749507904052734,96.90327453613281,122.81999969482422,140.1917266845703,21.627410888671875,165.75,513.8800048828125,26.329999923706055,421.4132385253906,227.5,425.3299865722656,319.56927490234375,42.93000030517578,92.1871109008789,104.38855743408203
